geonameid	name	latitude	longitude	cc	timezone
3185211	Kavaje	41.186	19.557	AL	Europe/Tirane
3185670	Fier-Cifci	40.717	19.567	AL	Europe/Tirane
3185672	Fier	40.724	19.556	AL	Europe/Tirane
3185728	Durres	41.324	19.455	AL	Europe/Tirane
3186084	Berat	40.706	19.952	AL	Europe/Tirane
174875	Kapan	39.208	46.406	AM	Asia/Yerevan
174895	Goris	39.511	46.342	AM	Asia/Yerevan
174972	Hats'avan	39.464	45.970	AM	Asia/Yerevan
174979	Artashat	39.961	44.544	AM	Asia/Yerevan
174991	Ararat	39.831	44.706	AM	Asia/Yerevan
616052	Yerevan	40.181	44.514	AM	Asia/Yerevan
616062	Vagharshapat	40.166	44.295	AM	Asia/Yerevan
616194	Stepanavan	41.010	44.385	AM	Asia/Yerevan
616199	Spitak	40.832	44.267	AM	Asia/Yerevan
616250	Sevan	40.547	44.942	AM	Asia/Yerevan
616435	Masis	40.066	44.419	AM	Asia/Yerevan
616530	Vanadzor	40.805	44.494	AM	Asia/Yerevan
616599	Gavar	40.354	45.124	AM	Asia/Yerevan
616629	Hrazdan	40.497	44.766	AM	Asia/Yerevan
616631	Armavir	40.154	44.038	AM	Asia/Yerevan
616635	Gyumri	40.794	43.845	AM	Asia/Yerevan
616785	Ch'arents'avan	40.403	44.644	AM	Asia/Yerevan
616877	Ashtarak	40.299	44.362	AM	Asia/Yerevan
617026	Abovyan	40.274	44.633	AM	Asia/Yerevan
145531	Saurimo	-9.661	20.392	AO	Africa/Luanda
145724	Lucapa	-8.419	20.745	AO	Africa/Luanda
145757	Dundo	-7.366	20.816	AO	Africa/Luanda
145778	Chitato	-7.300	20.733	AO	Africa/Luanda
145872	Cassanguidi	-7.484	21.303	AO	Africa/Luanda
876130	Lumbala	-14.102	21.435	AO	Africa/Luanda
876177	Luau	-10.707	22.225	AO	Africa/Luanda
876482	Cazombo	-11.894	22.902	AO	Africa/Luanda
2236360	Nzagi	-8.385	15.301	AO	Africa/Luanda
2236568	Uige	-7.609	15.061	AO	Africa/Luanda
2236716	Tomboco	-6.805	13.330	AO	Africa/Luanda
2236967	Soyo	-6.135	12.369	AO	Africa/Luanda
2236991	Songo	-7.352	14.846	AO	Africa/Luanda
2237128	Sanza Pombo	-7.315	16.002	AO	Africa/Luanda
2239001	Ambrizette	-7.231	12.867	AO	Africa/Luanda
2239069	Negage	-7.759	15.272	AO	Africa/Luanda
2239076	N'dalatando	-9.298	14.912	AO	Africa/Luanda
2239149	Mussende	-9.950	14.800	AO	Africa/Luanda
2239520	Mbanza Kongo	-6.267	14.238	AO	Africa/Luanda
2239732	Maquela do Zombo	-6.057	15.110	AO	Africa/Luanda
2239862	Malanje	-9.540	16.341	AO	Africa/Luanda
2240393	Lucala	-9.273	15.252	AO	Africa/Luanda
2240416	Lubalo	-9.154	19.281	AO	Africa/Luanda
2240449	Luanda	-8.837	13.234	AO	Africa/Luanda
2240686	Cunda dia Baze	-8.908	17.053	AO	Africa/Luanda
2240975	Golungo Alto	-9.133	14.767	AO	Africa/Luanda
2241371	Dondo	-9.685	14.428	AO	Africa/Luanda
2241372	Dondo	-9.050	15.317	AO	Africa/Luanda
2241623	Cuimba	-6.121	14.621	AO	Africa/Luanda
2241635	Cuilo	-8.236	19.526	AO	Africa/Luanda
2241668	Cuango-Luzamba	-9.146	18.045	AO	Africa/Luanda
2241954	Cazombo	-8.732	15.371	AO	Africa/Luanda
2242001	Caxito	-8.578	13.664	AO	Africa/Luanda
2242584	Cangandala	-9.783	16.433	AO	Africa/Luanda
2242885	Camabatela	-8.188	15.375	AO	Africa/Luanda
2243127	Cacuso	-9.421	15.747	AO	Africa/Luanda
2243271	Cabinda	-5.567	12.198	AO	Africa/Luanda
2243458	Buco Zau	-4.767	12.550	AO	Africa/Luanda
2243646	Belize	-4.650	12.767	AO	Africa/Luanda
2243677	Barra do Dande	-8.472	13.370	AO	Africa/Luanda
2243866	Bailundo	-9.575	15.994	AO	Africa/Luanda
2591933	Gama	-8.568	13.476	AO	Africa/Luanda
3345492	Xangongo	-16.744	14.975	AO	Africa/Luanda
3345495	Alto Hama	-12.233	15.550	AO	Africa/Luanda
3345517	Virei	-15.727	12.950	AO	Africa/Luanda
3345668	Ucuma	-12.961	15.060	AO	Africa/Luanda
3345669	Ucu Seles	-11.412	14.307	AO	Africa/Luanda
3345790	Tombua	-15.804	11.845	AO	Africa/Luanda
3346015	Sumbe	-11.206	13.844	AO	Africa/Luanda
3346497	Quipungo	-14.819	14.535	AO	Africa/Luanda
3346598	Quibala	-10.734	14.980	AO	Africa/Luanda
3346661	Porto Amboim	-10.733	13.768	AO	Africa/Luanda
3346821	Ondjiva	-17.067	15.733	AO	Africa/Luanda
3346942	Nharea	-11.475	16.965	AO	Africa/Luanda
3347019	Mossamedes	-15.196	12.152	AO	Africa/Luanda
3347111	Mungo	-11.833	16.236	AO	Africa/Luanda
3347353	Menongue	-14.659	17.691	AO	Africa/Luanda
3347424	Matala	-14.733	15.035	AO	Africa/Luanda
3347615	Luquembo	-10.739	17.718	AO	Africa/Luanda
3347719	Luena	-11.783	19.917	AO	Africa/Luanda
3347762	Lubango	-14.917	13.493	AO	Africa/Luanda
3347853	Longonjo	-12.908	15.248	AO	Africa/Luanda
3347880	Londuimbali	-12.237	15.317	AO	Africa/Luanda
3347939	Lobito	-12.364	13.536	AO	Africa/Luanda
3348078	Cuito	-12.383	16.933	AO	Africa/Luanda
3348094	Catchiungo	-12.566	16.226	AO	Africa/Luanda
3348313	Huambo	-12.776	15.739	AO	Africa/Luanda
3348581	Ganda	-13.016	14.635	AO	Africa/Luanda
3348613	Gabela	-10.851	14.380	AO	Africa/Luanda
3348896	Dombe Grande	-12.952	13.103	AO	Africa/Luanda
3349181	Cuemba	-12.150	18.083	AO	Africa/Luanda
3349229	Cubal	-13.039	14.246	AO	Africa/Luanda
3349324	Conda	-11.109	14.336	AO	Africa/Luanda
3349515	Chitembo	-13.550	16.633	AO	Africa/Luanda
3349723	Chinguar	-12.557	16.338	AO	Africa/Luanda
3350123	Cela	-11.422	15.123	AO	Africa/Luanda
3350246	Catumbela	-12.430	13.547	AO	Africa/Luanda
3350372	Catabola	-12.150	17.283	AO	Africa/Luanda
3350550	Capunda	-11.133	14.467	AO	Africa/Luanda
3350867	Camucuio	-14.117	13.250	AO	Africa/Luanda
3350917	Cambundi Catembo	-10.075	17.551	AO	Africa/Luanda
3351014	Camacupa	-12.017	17.483	AO	Africa/Luanda
3351023	Caluquembe	-13.867	14.433	AO	Africa/Luanda
3351064	Calulo	-10.001	14.895	AO	Africa/Luanda
3351500	Caala	-12.853	15.561	AO	Africa/Luanda
3351599	Bocoio	-12.470	14.137	AO	Africa/Luanda
3351663	Benguela	-12.576	13.405	AO	Africa/Luanda
3351764	Balombo	-12.354	14.772	AO	Africa/Luanda
3351786	Baia Farta	-12.604	13.197	AO	Africa/Luanda
3351884	Andulo	-11.487	16.697	AO	Africa/Luanda
7745410	Cambundi	-7.469	17.038	AO	Africa/Luanda
7768322	Cafunfo	-8.767	17.996	AO	Africa/Luanda
7855993	Santa Clara	-10.192	15.434	AO	Africa/Luanda
7860624	Quissecula	-11.392	15.092	AO	Africa/Luanda
7900710	Cambundi	-10.895	17.764	AO	Africa/Luanda
3427213	Zarate	-34.096	-59.024	AR	America/Argentina/Buenos_Aires
3427327	Colonia Wanda	-25.973	-54.563	AR	America/Argentina/Cordoba
3427387	Villa Ortuzar	-34.580	-58.468	AR	America/Argentina/Buenos_Aires
3427388	Villa Ocampo	-28.487	-59.354	AR	America/Argentina/Cordoba
3427408	Villa Lugano	-34.679	-58.473	AR	America/Argentina/Buenos_Aires
3427428	Villaguay	-31.868	-59.027	AR	America/Argentina/Cordoba
3427431	Villa Gesell	-37.264	-56.973	AR	America/Argentina/Buenos_Aires
3427453	Villa de Mayo	-34.511	-58.681	AR	America/Argentina/Buenos_Aires
3427687	Tortuguitas	-34.475	-58.754	AR	America/Argentina/Buenos_Aires
3427761	Tigre	-34.426	-58.580	AR	America/Argentina/Buenos_Aires
3427833	Tandil	-37.329	-59.137	AR	America/Argentina/Buenos_Aires
3428068	San Vicente	-26.617	-54.133	AR	America/Argentina/Cordoba
3428071	Santo Tome	-28.551	-56.041	AR	America/Argentina/Cordoba
3428075	Santos Lugares	-34.603	-58.541	AR	America/Argentina/Buenos_Aires
3428359	Santa Elena	-30.944	-59.788	AR	America/Argentina/Cordoba
3428576	San Pedro	-33.679	-59.666	AR	America/Argentina/Buenos_Aires
3428577	San Pedro	-26.622	-54.109	AR	America/Argentina/Cordoba
3428708	San Luis del Palmar	-27.508	-58.556	AR	America/Argentina/Cordoba
3428759	San Lorenzo	-28.134	-58.767	AR	America/Argentina/Cordoba
3428975	San Javier	-30.578	-59.932	AR	America/Argentina/Cordoba
3428992	San Isidro	-34.470	-58.521	AR	America/Argentina/Buenos_Aires
3429403	Saladas	-28.255	-58.624	AR	America/Argentina/Cordoba
3429576	Retiro	-34.583	-58.383	AR	America/Argentina/Buenos_Aires
3429577	Resistencia	-27.461	-58.984	AR	America/Argentina/Cordoba
3429594	Reconquista	-29.150	-59.650	AR	America/Argentina/Cordoba
3429652	Quilmes	-34.721	-58.255	AR	America/Argentina/Buenos_Aires
3429732	Puerto Rico	-26.809	-55.021	AR	America/Argentina/Cordoba
3429777	Puerto Iguazu	-25.599	-54.574	AR	America/Argentina/Cordoba
3429786	Puerto Esperanza	-26.023	-54.614	AR	America/Argentina/Cordoba
3429790	Puerto Eldorado	-26.408	-54.695	AR	America/Argentina/Cordoba
3429886	Posadas	-27.367	-55.896	AR	America/Argentina/Cordoba
3429902	Pontevedra	-34.749	-58.702	AR	America/Argentina/Buenos_Aires
3429949	Pirane	-25.733	-59.110	AR	America/Argentina/Cordoba
3429980	Pilar	-34.459	-58.914	AR	America/Argentina/Buenos_Aires
3430104	Paso de los Libres	-29.713	-57.088	AR	America/Argentina/Cordoba
3430340	Obera	-27.487	-55.120	AR	America/Argentina/Cordoba
3430443	Necochea	-38.555	-58.740	AR	America/Argentina/Buenos_Aires
3430513	Muniz	-34.556	-58.707	AR	America/Argentina/Buenos_Aires
3430545	Moron	-34.651	-58.622	AR	America/Argentina/Buenos_Aires
3430598	Monte Caseros	-30.252	-57.635	AR	America/Argentina/Cordoba
3430601	Montecarlo	-26.568	-54.758	AR	America/Argentina/Cordoba
3430697	Merlo	-34.665	-58.727	AR	America/Argentina/Buenos_Aires
3430708	Mercedes	-34.651	-59.431	AR	America/Argentina/Buenos_Aires
3430709	Mercedes	-29.184	-58.075	AR	America/Argentina/Cordoba
3430835	Haedo	-34.642	-58.592	AR	America/Argentina/Buenos_Aires
